Week_date_time,Week_date_time_woreda,RegionName,ZoneName,WoredaName,Total Malaria Confirmed and Clinical,TMalaria_OutP_Cases,TMalaria_InP_Cases,TMalaria_InP_Deaths,TMSuspected Fever Examined,PosMalaria_RDT_or_Microscopy_PF_OutP_Cases,PosMalaria_RDT_or_Microscopy_PV_OutP_Cases,Meningits total Cases,Meningitis_InP_Cases,Dysentery_total Cases,Dysentery_OutP_Cases,Typhoid fever Total cases,Typhoid fever_OutP_Cases,Typhoid fever_InP_Cases,Relapsing fever_total Cases,Epidemic Typhus Total Cases,Epidemic Typhus_OutP_Cases,Epidemic Typhus_InP_Cases,Epidemic Typhus_InP_Deaths,Malnutrition_total Cases,Scabies_OutP_Cases,Avian_Human_Influenza_Cases,Avian_Human_Influenza_Deaths,Cholera/AWD_Cases,Cholera/AWD_Deaths,Dracunculiasis/Guinea worm_Cases,Dracunculiasis/Guinea worm_Deaths,Measles_Cases,Neonatal Tetanus_Cases,Neonatal Tetanus_Deaths,Pandemic Influenza_Cases,Pandemic Influenza_Deaths,Rabies_Cases,Rabies_Deaths,SARS_Cases,SARS_Deaths,Maternal_Death,Other 1_sc,Other 1_Cases,Other 1_Deaths,Other 2_Name,Other 2_Cases,Other 2_Deaths,Other 3_Name,Other 3_Cases,Other 3_Deaths,No-of-Gov_HPs-expected-by-RHB,No-of-Gov_HCs-expected-by-RHB,No-of-Gov_Hosps-expected-by-RHB,No-of-NGOHF-expected-by-RHB,No-of-OtherHFs-expected-by-RHB,No-of-Gov_HPs-Reported,No-of-Gov_HCs-Reported,No-of-Gov_Hosps-Reported,No-of-NGOHFs-Reported,No-of-OthersHF-Reported,All-Total-sites-Reported,All-Total-sites-Expected-by-RHB,Total-Gov-sites-Reported
2017-01-02,2017-01-02_North Shewa_Kuyu Hospital,Oromia,North Shewa,Kuyu Hospital,3,3.0,0.0,0.0,9.0,2.0,1.0,0,0.0,0,0.0,8,8.0,0.0,0,1,1.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0,0,,0,0,,0,0,0.0,0.0,1.0,0.0,0.0,,,1.0,,,1,1,1
2017-01-02,2017-01-02_North Shewa_Yaya Gulele,Oromia,North Shewa,Yaya Gulele,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,1.0,10,10.0,0.0,0,0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,17.0,4.0,0.0,0.0,3.0,24.0,4.0,,,3.0,31,24,28
2017-01-02,2017-01-02_Gelan Town_Gelan Town,Oromia,Gelan Town,Gelan Town,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,4.0,1.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,3.0,8,8,5
2017-01-02,2017-01-02_Finfine Zuria_Akaki,Oromia,Finfine Zuria,Akaki,5,5.0,0.0,0.0,29.0,4.0,1.0,0,0.0,4,4.0,12,12.0,0.0,0,0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,27.0,3.0,0.0,0.0,0.0,27.0,3.0,0.0,0.0,0.0,30,30,30
2017-01-02,2017-01-02_West Hararge_Oda Bultum,Oromia,West Hararge,Oda Bultum,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6,6.0,0,0.0,0.0,0,0,0.0,0.0,0.0,13,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,37.0,6.0,0.0,0.0,0.0,36.0,6.0,0.0,0.0,0.0,42,43,42
2017-01-09,2017-01-09_North Shewa_Fiche Hospital,Oromia,North Shewa,Fiche Hospital,1,1.0,0.0,0.0,3.0,1.0,0.0,0,0.0,0,0.0,6,6.0,,0,1,1.0,,,15,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,,,1,1,1
2017-01-09,2017-01-09_West Wellega_Gimbi Rural,Oromia,West Wellega,Gimbi Rural,4,4.0,0.0,0.0,18.0,2.0,2.0,0,0.0,2,2.0,10,10.0,0.0,0,0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,32.0,4.0,0.0,0.0,0.0,29.0,4.0,0.0,0.0,0.0,33,36,33
2017-01-09,2017-01-09_West Guji_Hanbala,Oromia,West Guji,Hanbala,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,16,16.0,20,20.0,0.0,0,8,8.0,0.0,0.0,12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,26.0,5.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,24,31,24
2017-01-09,2017-01-09_West Shewa_Dano,Oromia,West Shewa,Dano,11,11.0,0.0,0.0,35.0,7.0,4.0,0,0.0,6,6.0,3,3.0,0.0,0,0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,23.0,4.0,0.0,0.0,0.0,23.0,4.0,0.0,0.0,0.0,27,27,27
2017-01-09,2017-01-09_East Hararge_Gursum,Oromia,East Hararge,Gursum,2,2.0,0.0,0.0,34.0,2.0,0.0,0,0.0,10,10.0,9,9.0,0.0,0,0,0.0,0.0,0.0,21,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,42.0,7.0,0.0,0.0,3.0,39.0,7.0,0.0,0.0,2.0,48,52,46
