LL1_Haptics	Uncharted-TA2	0.499758	NYU-TA2	0.414614	0.37013	0.465272
LL1_ItalyPowerDemand	Uncharted-TA1	0.964182	NYU-TA2	0.954413	0.955293	0.946257
LL1_Meat	Brown-TA2	0.966583	NYU-TA2	0.918392	0.933333	0.934609
LL1_OSULeaf	UCB-TA2	0.983175	NYU-TA2	0.44946	0.520661	0.895298
LL1_TXT_CLS_3746_newsgroup	UCB-TA2	0.511042	NYU-TA2	None	0.385891	None
LL1_TXT_CLS_airline_opinion	MIT-TA2	0.801913	NYU-TA2	0.765027	0.766393	0.80806
LL1_TXT_CLS_apple_products_sentiment	MIT-TA2	0.731362	NYU-TA2	0.719794	0.713368	0.727506
LL1_VID_UCF11	UCB-TA2	0.199906	NYU-TA2	0.120359	0.934514	None
LL1_VTXC_1343_cora	Stanford-TA2	0.645262	NYU-TA2	None	0.593654	None
LL1_VTXC_1369_synthetic	Stanford-TA2	0.965328	NYU-TA2	0.872408	0.942328	None
LL1_crime_chicago	NYU-TA2	0.666667	NYU-TA2	0.666667	None	0.65
LL1_multilearn_emotions	CMU-TA2	0.36488	NYU-TA2	0.3626	None	None
LL1_net_nomination_seed	Brown-TA2	0.9125	NYU-TA2	0.85	0.85	0.9875
LL1_penn_fudan_pedestrian	Brown-TA2	0.94274	NYU-TA2	None	0.957959	None
LL1_terra_canopy_height_long_form_s4_100	SRI-TA2	50.7064	NYU-TA2	135.007	50.8122	None
LL1_terra_canopy_height_long_form_s4_70	CMU-TA2	30.8561	NYU-TA2	213.107	240.296	None
LL1_terra_canopy_height_long_form_s4_80	Brown-TA2	32.1659	NYU-TA2	158.872	74.3273	None
LL1_terra_canopy_height_long_form_s4_90	UCB-TA2	44.3986	NYU-TA2	140.878	60.48	None
LL1_terra_leaf_angle_mean_long_form_s4	MIT-TA2	0.0338123	NYU-TA2	0.0624841	0.0626447	None
SEMI_1040_sylva_prior	ISI-TA2	0.968312	NYU-TA2	0.94422	0.960025	None
SEMI_1044_eye_movements	ISI-TA2	0.640051	NYU-TA2	0.122954	0.421497	None
SEMI_1053_jm1	ISI-TA2	0.997703	NYU-TA2	0.564175	0.552048	None
SEMI_1217_click_prediction_small	Uncharted-TA2	0.556008	NYU-TA2	None	0.516278	None
SEMI_1459_artificial_characters	ISI-TA2	0.994492	NYU-TA2	0.68124	0.614757	None
SEMI_155_pokerhand	CMU-TA2	0.645334	NYU-TA2	0.569232	0.245102	None
SUPDATA_usps_digit_classification	CMU-TA2	0.940708	NYU-TA2	0.178874	None	None
uu10_posts_3	Texas A&M-TA2	0.666889	NYU-TA2	None	1	None
uu1_datasmash	CMU-TA2	1	NYU-TA2	0.195876	0.62963	1
uu2_gp_hyperparameter_estimation	Stanford-TA2	0.887919	NYU-TA2	0.888021	0.824358	0.381998
uu3_world_development_indicators	ISI-TA1	4.08139e+09	NYU-TA2	None	None	None
uu3_world_development_indicators_raw	Brown-TA2	64.2756	NYU-TA2	None	None	None
uu4_SPECT	NYU-TA2	0.928571	NYU-TA2	0.928571	0.876404	0.911111
uu5_heartstatlog	CMU-TA2	0.769231	NYU-TA2	0.304348	0.657143	0.746269
uu6_hepatitis	CMU-TA2	0.705882	NYU-TA2	0.555556	0.421053	0.573253
uu7_pima_diabetes	MIT-TA2	0.658824	NYU-TA2	0.589147	0.56	0.615385
uu8_posts_1	Stanford-TA2	54.1036	NYU-TA2	54.1036	0	None
uu9_posts_2	MIT-TA2	0.562208	NYU-TA2	5.78489	0	None
uu_101_object_categories	CMU-TA2	0.952765	NYU-TA2	0.10023	0.563364	0.950461
1491_one_hundred_plants_margin_clust	Michigan-TA1	0.823755	NYU-TA2	None	0.816731	None
DS01876	N/A	N/A	N/A	N/A	N/A	N/A
LL1_bn_fly_drosophila_medulla_net	N/A	N/A	N/A	N/A	N/A	N/A
LL1_tidy_terra_panicle_detection	N/A	N/A	N/A	N/A	N/A	N/A
